Date,How many years have you worked for Acme Corporation?,In which business unit do you currently work?,In which office are you currently working?,How satisfied are you with working at Acme Corporation?,My performance is measured against clearly defined outcomes and metrics.,I have access to everything that I need to perform at my job.,My strengths are recognized and I put them into practice every day.,I receive meaningful recognition for doing a good job.,I am happy with the relationship with my manager.,My manager supports me to get better at my valued skills.,My opinions matter and are taken into consideration.,My job counts towards achieving the goals of the organization.,My colleagues are accountable for doing quality work.,I consider at least one of my colleagues to be a true friend.,I have received support for personal growth and development in the last six months.,There are ongoing opportunities for learning and growth in my role.
2019-12-12 06:17:29,0,Customer Service,FR,5,4,3,1,4,1,1,3,1,5,4,5,2
2019-12-23 04:58:03,7,Production,FR,10,5,3,1,4,2,5,2,2,4,2,3,4
2019-12-29 20:29:17,3,Human Resources,FR,8,4,1,1,1,3,2,5,1,2,4,2,2
2019-12-25 13:54:38,10,Research and Development,FR,9,2,3,1,5,3,4,1,2,5,5,4,2
2019-12-10 22:37:12,10,Research and Development,FR,4,5,1,4,2,1,4,3,4,2,5,4,1
2019-12-15 16:22:52,14,Research and Development,FR,6,4,2,1,1,2,1,4,3,2,4,4,1
2019-12-14 10:07:11,2,Finance and Administration,FR,4,2,4,4,4,5,4,2,2,4,5,5,3
2019-12-06 22:24:07,14,Finance and Administration,FR,8,2,4,5,2,4,3,3,5,2,3,4,1
2019-12-07 19:11:28,12,Research and Development,FR,9,4,3,1,5,4,4,2,1,3,1,2,5
2019-12-20 19:45:43,8,Research and Development,FR,10,4,2,4,4,4,1,5,4,4,2,1,2
2019-12-11 23:48:22,12,Production,FR,9,2,5,5,4,4,3,3,2,1,4,2,1
2019-12-16 14:46:47,8,Research and Development,FR,7,5,1,2,4,1,3,3,3,4,3,1,3
2019-12-24 22:59:33,9,Sales and Marketing,FR,8,1,5,1,5,4,1,2,2,5,1,3,4
2019-12-08 14:59:04,14,Research and Development,FR,6,3,3,4,2,4,4,3,2,2,4,3,5
2019-12-04 19:58:32,1,Research and Development,FR,10,5,5,1,3,2,2,4,3,2,1,4,4
2019-12-28 18:55:18,11,Finance and Administration,FR,7,3,1,1,5,3,1,2,4,2,3,3,1
2019-12-14 06:13:31,11,Human Resources,FR,4,5,1,4,4,4,3,5,1,4,2,4,5
2019-12-09 21:55:14,4,Research and Development,FR,4,1,4,1,4,3,2,1,4,5,3,4,3
2019-12-14 16:27:15,8,Finance and Administration,FR,8,3,4,2,2,1,2,5,5,4,5,3,2
2019-12-26 11:57:12,1,Production,FR,9,1,4,2,4,3,3,4,2,4,1,1,1
2019-12-30 01:30:08,0,Sales and Marketing,FR,8,2,1,1,1,4,4,4,5,3,2,1,4
2019-12-21 03:30:41,7,Production,FR,5,5,2,2,3,4,2,5,1,4,1,4,4
2019-12-09 04:48:16,15,Research and Development,FR,6,1,4,1,5,2,2,3,5,2,3,2,4
2019-12-17 09:25:35,0,Production,FR,6,3,1,2,1,1,5,1,1,4,4,2,3
2019-12-11 19:18:44,10,Production,FR,6,5,4,3,5,5,3,4,2,3,2,3,5
2019-12-08 14:01:56,13,Research and Development,FR,5,2,5,4,1,5,5,1,3,5,1,2,5
2019-12-04 03:30:46,7,Human Resources,FR,4,2,1,5,3,5,4,1,3,5,2,5,3
2019-12-18 01:00:30,10,Production,FR,5,5,2,2,2,1,4,4,4,5,3,5,5
2019-12-15 11:41:23,3,Sales and Marketing,FR,6,3,2,4,3,5,3,5,4,2,3,5,2
