Date,How many years have you worked for Acme Corporation?,In which business unit do you currently work?,In which office are you currently working?,How satisfied are you with working at Acme Corporation?,My performance is measured against clearly defined outcomes and metrics.,I have access to everything that I need to perform at my job.,My strengths are recognized and I put them into practice every day.,I receive meaningful recognition for doing a good job.,I am happy with the relationship with my manager.,My manager supports me to get better at my valued skills.,My opinions matter and are taken into consideration.,My job counts towards achieving the goals of the organization.,My colleagues are accountable for doing quality work.,I consider at least one of my colleagues to be a true friend.,I have received support for personal growth and development in the last six months.,There are ongoing opportunities for learning and growth in my role.
2019-06-06 07:29:37,10,Finance and Administration,US,8,4,5,5,4,2,2,5,3,3,1,4,3
2019-06-18 14:19:49,7,Research and Development,US,4,1,4,4,1,1,3,1,3,2,1,1,2
2019-06-22 08:45:48,9,Finance and Administration,US,9,3,2,3,2,1,4,2,1,4,4,3,4
2019-06-21 10:05:52,0,Production,US,7,2,1,5,3,1,3,3,5,1,2,5,2
2019-06-10 16:50:44,5,Human Resources,US,7,5,3,3,2,3,3,5,5,2,2,1,3
2019-06-11 09:03:16,9,Customer Service,US,5,3,3,3,1,3,4,1,4,1,4,5,4
2019-06-20 07:14:35,9,Finance and Administration,US,5,1,3,2,3,5,3,5,4,5,1,4,3
2019-06-09 16:34:36,1,Sales and Marketing,US,6,4,4,1,5,3,3,5,5,4,1,3,3
2019-06-13 15:57:33,1,Production,US,5,3,1,5,4,5,4,5,2,5,3,3,3
2019-06-27 14:01:01,7,Human Resources,US,5,5,2,1,3,1,5,2,2,4,1,3,3
2019-06-12 04:30:02,12,Customer Service,US,9,2,1,4,3,5,1,3,5,2,4,3,1
2019-06-22 12:09:45,1,Sales and Marketing,US,8,1,5,1,3,3,1,2,4,5,2,2,3
2019-06-13 09:14:46,11,Production,US,6,2,4,5,5,5,2,5,1,4,5,2,2
2019-06-09 10:49:16,1,Production,US,9,3,3,5,3,1,4,3,5,1,4,4,4
2019-06-04 13:03:29,1,Customer Service,US,9,5,4,3,3,5,5,2,3,1,5,4,4
2019-06-06 14:15:36,10,Production,US,9,4,5,5,1,5,1,2,1,1,4,1,2
2019-06-10 19:00:05,7,Human Resources,US,9,4,4,1,1,4,5,1,5,5,2,3,4
2019-06-01 04:29:45,15,Human Resources,US,7,5,4,1,3,4,2,1,4,5,1,1,4
2019-06-21 21:07:54,9,Research and Development,US,5,4,5,2,3,1,3,1,3,1,4,3,3
2019-06-09 14:22:44,0,Production,US,6,1,3,4,3,5,2,4,3,3,4,2,3
2019-06-03 17:48:19,11,Sales and Marketing,US,10,4,1,4,4,4,1,4,2,3,1,5,4
2019-06-07 05:55:12,14,Research and Development,US,9,3,5,3,4,1,2,5,4,1,4,1,4
2019-06-17 10:55:03,13,Production,US,7,3,5,1,2,1,2,1,5,2,5,5,5
2019-06-09 13:45:27,4,Human Resources,US,7,1,4,5,1,5,1,4,5,4,1,1,5
2019-06-17 11:25:33,1,Production,US,7,1,4,3,5,5,2,5,2,5,4,2,4
2019-06-17 20:56:48,6,Human Resources,US,6,2,3,2,5,4,2,1,4,3,1,5,2
2019-06-06 03:43:30,13,Human Resources,US,6,2,2,4,5,3,5,5,4,1,4,3,4
