Date,How many years have you worked for Acme Corporation?,In which business unit do you currently work?,In which office are you currently working?,How satisfied are you with working at Acme Corporation?,My performance is measured against clearly defined outcomes and metrics.,I have access to everything that I need to perform at my job.,My strengths are recognized and I put them into practice every day.,I receive meaningful recognition for doing a good job.,I am happy with the relationship with my manager.,My manager supports me to get better at my valued skills.,My opinions matter and are taken into consideration.,My job counts towards achieving the goals of the organization.,My colleagues are accountable for doing quality work.,I consider at least one of my colleagues to be a true friend.,I have received support for personal growth and development in the last six months.,There are ongoing opportunities for learning and growth in my role.
2019-06-04 20:05:33,8,Customer Service,DK,5,1,3,2,5,1,5,3,3,5,5,2,3
2019-06-23 17:37:24,2,Finance and Administration,DK,8,5,1,5,3,1,4,1,5,4,3,1,5
2019-06-06 18:52:37,5,Production,DK,8,4,1,2,5,1,3,2,2,1,3,1,1
2019-06-09 07:42:37,7,Finance and Administration,DK,6,5,3,3,4,4,4,4,1,4,3,1,4
2019-06-08 16:00:20,4,Sales and Marketing,DK,6,4,2,5,3,4,2,1,3,1,1,1,3
2019-06-12 15:01:09,8,Customer Service,DK,8,3,3,3,3,2,4,5,5,3,5,5,5
2019-06-24 11:41:43,7,Finance and Administration,DK,6,2,1,3,1,5,5,2,4,3,3,5,2
2019-06-23 00:22:00,1,Sales and Marketing,DK,6,3,2,5,4,1,3,5,2,2,5,3,5
2019-06-21 17:38:22,7,Sales and Marketing,DK,5,4,5,1,2,2,3,4,2,4,1,1,2
2019-06-01 09:48:32,15,Human Resources,DK,9,3,2,1,4,5,2,3,5,4,3,1,5
2019-06-18 00:59:55,13,Research and Development,DK,5,5,2,3,4,2,3,1,2,2,5,2,4
2019-06-05 17:41:19,12,Human Resources,DK,10,4,3,3,3,4,2,4,3,3,2,3,1
2019-06-25 09:51:53,7,Finance and Administration,DK,10,1,3,5,1,4,1,2,1,2,4,3,2
2019-06-03 02:32:30,2,Finance and Administration,DK,5,2,2,2,5,5,1,5,3,5,1,1,1
2019-06-17 07:20:59,6,Finance and Administration,DK,10,2,2,3,3,3,3,2,3,2,4,1,2
2019-06-10 11:36:53,15,Finance and Administration,DK,7,1,4,2,5,5,2,2,5,3,3,2,5
2019-06-10 11:02:30,5,Finance and Administration,DK,7,2,5,3,5,3,5,4,4,2,5,3,1
2019-06-19 09:38:44,7,Production,DK,10,2,1,1,5,5,4,1,2,2,5,1,4
2019-06-24 17:04:56,6,Research and Development,DK,7,2,3,4,5,3,3,1,5,3,4,4,2
2019-06-11 13:03:21,5,Human Resources,DK,6,5,1,2,4,4,1,2,2,1,1,5,1
2019-06-25 15:04:00,6,Customer Service,DK,4,3,2,4,1,1,1,4,4,2,3,3,4
2019-06-04 18:48:09,4,Research and Development,DK,9,3,4,4,2,2,2,5,3,5,2,4,1
2019-06-02 00:36:38,11,Finance and Administration,DK,6,2,5,1,5,4,3,5,5,4,3,3,4
2019-06-25 23:52:56,9,Finance and Administration,DK,7,1,2,3,2,3,5,5,2,2,1,3,5
2019-06-24 21:54:17,3,Finance and Administration,DK,7,4,3,4,1,2,4,2,5,3,1,3,1
2019-06-11 19:46:58,11,Customer Service,DK,7,3,2,1,4,3,2,3,5,2,1,2,1
2019-06-13 14:20:01,14,Research and Development,DK,4,3,2,1,3,2,1,5,1,5,5,1,3
2019-06-16 04:05:30,14,Finance and Administration,DK,7,4,4,2,4,2,2,2,3,5,2,5,4
2019-06-01 06:15:14,3,Sales and Marketing,DK,9,5,5,5,1,2,4,5,4,3,3,1,1
2019-06-14 06:01:26,11,Production,DK,7,1,5,1,3,4,4,3,5,5,1,3,4
2019-06-08 14:08:14,7,Finance and Administration,DK,5,4,3,1,4,4,5,1,4,5,3,2,5
2019-06-08 09:55:05,11,Customer Service,DK,4,1,4,4,3,1,5,2,3,4,1,4,5
2019-06-18 10:02:09,14,Research and Development,DK,7,4,2,1,5,3,2,4,2,3,5,1,1
2019-06-05 01:31:13,11,Sales and Marketing,DK,8,1,1,5,5,5,5,2,3,2,2,3,2
2019-06-14 00:05:32,3,Finance and Administration,DK,9,5,2,1,4,1,2,1,3,4,1,2,3
2019-06-29 12:42:02,4,Finance and Administration,DK,5,5,5,2,3,5,3,3,1,2,2,2,3
2019-06-17 10:49:33,7,Customer Service,DK,10,2,3,2,5,5,4,3,1,1,5,1,3
2019-06-22 11:22:10,11,Human Resources,DK,5,2,3,4,4,1,1,4,2,2,5,1,3
2019-06-10 20:15:55,2,Finance and Administration,DK,7,5,3,2,3,2,2,5,1,2,2,2,2
2019-06-01 09:20:29,10,Production,DK,7,5,4,4,3,5,3,1,1,2,2,2,4
2019-06-28 02:54:42,5,Customer Service,DK,5,3,4,1,1,3,4,2,4,5,4,4,1
2019-06-15 00:34:55,2,Production,DK,6,4,2,2,2,3,2,1,5,4,3,1,3
2019-06-22 02:40:05,5,Research and Development,DK,8,3,4,4,4,3,5,4,4,3,3,2,4
2019-06-20 15:31:45,3,Finance and Administration,DK,6,5,1,3,2,1,4,4,3,4,2,5,4
2019-06-01 12:21:58,0,Sales and Marketing,DK,5,2,2,4,3,5,1,1,5,3,5,3,4
2019-06-13 02:24:14,2,Finance and Administration,DK,4,2,5,4,5,3,3,4,5,4,3,1,5
2019-06-29 00:59:53,5,Finance and Administration,DK,9,2,2,3,3,5,4,4,5,2,3,1,5
2019-06-17 21:58:55,5,Human Resources,DK,10,4,3,2,2,3,4,5,1,1,2,2,2
2019-06-23 03:22:02,15,Human Resources,DK,4,1,1,2,3,5,5,5,1,4,5,3,4
2019-06-25 07:28:16,8,Production,DK,10,3,1,4,2,4,5,5,1,1,1,4,5
2019-06-14 12:10:30,4,Sales and Marketing,DK,9,1,5,5,3,5,5,4,2,2,4,3,5
2019-06-26 01:59:22,3,Human Resources,DK,5,3,4,5,3,2,1,2,3,2,4,3,5
2019-06-27 15:29:06,12,Human Resources,DK,10,3,1,5,3,2,4,3,4,1,5,1,5
2019-06-08 18:05:19,10,Research and Development,DK,10,1,2,1,5,5,3,2,1,5,2,2,1
2019-06-17 09:17:10,11,Research and Development,DK,10,3,5,4,3,4,2,2,2,5,5,1,3
2019-06-28 09:53:22,1,Customer Service,DK,6,5,2,2,5,1,3,4,2,2,2,5,5
2019-06-03 01:22:37,13,Production,DK,7,5,3,1,2,5,5,4,2,2,5,4,5
2019-06-19 22:32:31,12,Human Resources,DK,8,3,3,1,1,4,2,5,2,3,4,1,3
2019-06-12 09:53:37,9,Production,DK,4,4,4,3,3,3,2,3,1,4,2,4,2
2019-06-28 14:52:36,10,Customer Service,DK,9,4,1,5,5,3,1,2,1,5,3,3,3
2019-06-23 03:45:20,6,Research and Development,DK,10,4,1,4,4,1,4,2,2,2,4,2,1
2019-06-16 11:06:18,15,Finance and Administration,DK,8,3,1,2,1,2,5,3,4,2,2,4,4
2019-06-10 18:14:31,4,Sales and Marketing,DK,9,2,2,2,3,4,4,1,3,1,5,5,3
2019-06-14 08:36:32,8,Human Resources,DK,8,4,4,1,4,5,3,4,5,3,5,2,1
2019-06-09 11:28:16,7,Sales and Marketing,DK,9,2,5,3,5,3,3,5,5,3,4,2,4
2019-06-28 18:47:34,0,Research and Development,DK,5,4,4,1,5,3,4,5,1,3,4,1,1
2019-06-18 13:22:53,5,Production,DK,6,3,1,2,1,4,5,4,5,1,3,5,3
2019-06-07 17:32:54,14,Customer Service,DK,8,5,2,4,1,1,5,4,2,2,1,5,4
2019-06-12 04:16:31,13,Research and Development,DK,9,2,5,2,3,5,4,5,2,5,2,5,2
2019-06-08 02:51:39,10,Finance and Administration,DK,10,2,1,5,1,1,5,3,5,2,1,2,4
2019-06-16 05:57:34,2,Research and Development,DK,7,2,1,1,3,3,1,4,1,1,5,3,5
2019-06-23 02:58:21,11,Human Resources,DK,4,3,1,4,2,1,4,1,5,1,3,2,4
2019-06-06 23:05:07,9,Human Resources,DK,4,5,4,5,2,3,1,1,1,2,5,2,4
2019-06-22 05:31:30,9,Customer Service,DK,10,4,5,4,1,5,5,3,5,4,2,3,1
2019-06-13 14:23:26,4,Research and Development,DK,10,5,3,4,4,5,5,2,4,3,4,2,5
2019-06-19 11:00:21,8,Finance and Administration,DK,4,1,5,4,2,1,4,1,4,5,4,3,1
