Date,How many years have you worked for Acme Corporation?,In which business unit do you currently work?,In which office are you currently working?,How satisfied are you with working at Acme Corporation?,My performance is measured against clearly defined outcomes and metrics.,I have access to everything that I need to perform at my job.,My strengths are recognized and I put them into practice every day.,I receive meaningful recognition for doing a good job.,I am happy with the relationship with my manager.,My manager supports me to get better at my valued skills.,My opinions matter and are taken into consideration.,My job counts towards achieving the goals of the organization.,My colleagues are accountable for doing quality work.,I consider at least one of my colleagues to be a true friend.,I have received support for personal growth and development in the last six months.,There are ongoing opportunities for learning and growth in my role.
2019-12-06 22:04:18,1,Production,DK,8,3,4,3,1,2,3,2,3,1,4,1,2
2019-12-08 03:08:43,15,Research and Development,DK,7,3,4,2,3,1,1,2,3,2,1,1,2
2019-12-19 03:57:17,5,Production,DK,6,3,5,1,2,1,5,1,4,2,1,2,2
2019-12-12 13:59:46,3,Production,DK,6,4,4,5,1,2,2,3,3,5,4,4,3
2019-12-10 18:37:26,11,Research and Development,DK,7,1,1,4,4,2,3,3,1,4,5,5,1
2019-12-30 07:24:14,3,Research and Development,DK,7,2,2,5,5,5,5,4,1,4,1,2,1
2019-12-05 19:18:09,7,Customer Service,DK,5,5,3,4,3,5,5,2,2,3,1,4,5
2019-12-27 06:11:38,0,Finance and Administration,DK,4,3,3,5,2,1,3,1,5,4,3,3,4
2019-12-07 01:32:35,14,Human Resources,DK,5,4,4,5,5,4,4,4,1,5,2,2,5
2019-12-11 20:30:47,12,Production,DK,9,1,2,2,3,1,3,3,3,3,1,4,2
2019-12-18 16:18:39,0,Production,DK,4,1,2,5,1,2,5,3,5,4,5,2,2
2019-12-03 02:32:05,2,Research and Development,DK,4,5,5,1,1,1,2,5,2,5,2,4,4
2019-12-24 09:33:29,5,Production,DK,8,1,2,4,3,4,2,1,4,1,5,1,5
2019-12-07 19:03:02,7,Production,DK,5,3,5,2,2,1,2,2,2,2,4,4,2
2019-12-01 05:16:01,14,Human Resources,DK,5,2,3,5,3,3,5,4,2,2,1,1,1
2019-12-15 19:38:44,12,Research and Development,DK,10,4,2,1,2,2,5,4,5,5,5,4,4
2019-12-15 05:42:39,4,Human Resources,DK,8,5,3,3,5,4,3,5,5,2,1,2,1
2019-12-06 15:14:09,12,Sales and Marketing,DK,10,1,3,4,5,4,3,4,2,2,5,3,3
2019-12-29 16:20:28,9,Research and Development,DK,6,2,5,2,4,4,2,2,5,3,1,1,3
2019-12-02 04:49:12,8,Finance and Administration,DK,7,5,2,5,4,3,3,2,1,1,3,1,2
2019-12-04 10:02:40,13,Production,DK,9,3,5,3,3,1,1,2,2,3,4,4,1
2019-12-21 00:49:58,8,Research and Development,DK,7,1,2,2,5,5,3,5,3,2,2,3,5
2019-12-04 22:52:47,0,Production,DK,10,4,3,5,3,3,3,3,4,4,1,2,5
2019-12-01 19:24:45,12,Sales and Marketing,DK,6,1,3,2,4,1,1,1,2,2,1,1,5
2019-12-13 19:58:19,7,Research and Development,DK,7,1,1,3,2,2,4,1,1,4,2,1,4
2019-12-17 00:46:34,0,Research and Development,DK,4,2,3,1,4,4,1,3,4,1,4,2,1
2019-12-03 15:50:31,4,Production,DK,4,5,3,5,3,1,5,4,2,1,5,1,1
2019-12-08 02:55:56,5,Finance and Administration,DK,8,5,4,4,3,3,4,4,4,1,5,1,3
2019-12-12 19:24:39,3,Customer Service,DK,10,5,4,3,1,5,5,1,2,5,3,4,2
2019-12-10 17:57:47,13,Human Resources,DK,4,4,3,4,4,5,4,3,4,5,4,1,4
2019-12-02 03:04:52,6,Production,DK,10,5,4,2,5,5,5,1,3,4,5,3,4
2019-12-24 03:25:22,14,Customer Service,DK,5,5,2,2,2,1,4,5,4,4,1,5,4
2019-12-02 11:04:53,4,Sales and Marketing,DK,8,5,2,1,3,3,3,3,5,5,4,1,2
2019-12-26 20:43:50,14,Sales and Marketing,DK,8,3,3,4,3,5,2,2,3,1,2,4,4
2019-12-14 16:30:48,7,Sales and Marketing,DK,4,1,3,3,2,3,2,1,3,1,3,3,4
2019-12-02 03:51:20,2,Production,DK,8,4,3,5,2,4,3,4,4,2,3,5,2
2019-12-22 15:01:51,0,Sales and Marketing,DK,7,4,1,3,5,5,3,5,4,3,5,1,2
2019-12-03 08:36:37,1,Research and Development,DK,7,5,5,4,3,2,2,4,1,2,2,1,5
