Date,How many years have you worked for Acme Corporation?,In which business unit do you currently work?,In which office are you currently working?,How satisfied are you with working at Acme Corporation?,My performance is measured against clearly defined outcomes and metrics.,I have access to everything that I need to perform at my job.,My strengths are recognized and I put them into practice every day.,I receive meaningful recognition for doing a good job.,I am happy with the relationship with my manager.,My manager supports me to get better at my valued skills.,My opinions matter and are taken into consideration.,My job counts towards achieving the goals of the organization.,My colleagues are accountable for doing quality work.,I consider at least one of my colleagues to be a true friend.,I have received support for personal growth and development in the last six months.,There are ongoing opportunities for learning and growth in my role.
2019-12-17 19:26:37,5,Finance and Administration,US,7,1,3,5,3,1,4,4,1,4,5,5,3
2019-12-05 16:55:55,14,Production,US,5,4,1,2,3,1,1,5,1,2,4,1,5
2019-12-27 03:04:33,9,Research and Development,US,5,3,3,3,5,4,2,1,2,1,4,1,4
2019-12-05 07:24:52,14,Human Resources,US,10,5,5,3,2,5,3,5,3,1,1,3,4
2019-12-22 14:03:44,14,Human Resources,US,8,2,3,4,5,4,5,2,1,2,1,1,2
2019-12-04 12:29:57,7,Sales and Marketing,US,9,2,4,2,1,4,2,3,5,5,4,3,4
2019-12-03 04:13:43,10,Finance and Administration,US,6,3,5,1,1,3,4,3,2,3,3,1,1
2019-12-28 19:51:37,4,Human Resources,US,7,5,3,3,2,1,3,5,5,2,4,3,4
2019-12-24 09:49:39,9,Production,US,6,2,2,1,5,2,5,4,5,4,5,3,3
2019-12-19 08:01:48,6,Production,US,6,2,4,2,4,4,1,1,4,3,5,2,3
2019-12-21 21:19:40,2,Customer Service,US,5,1,5,3,5,3,1,5,2,1,2,2,4
2019-12-15 12:57:55,1,Sales and Marketing,US,10,2,5,1,3,4,5,3,5,1,3,1,3
2019-12-04 09:57:57,4,Customer Service,US,5,4,4,4,4,1,1,3,4,5,1,3,3
2019-12-21 17:06:27,8,Customer Service,US,4,5,5,3,4,4,1,2,1,1,4,2,3
2019-12-20 01:16:11,13,Human Resources,US,4,1,3,5,2,1,2,3,4,1,2,5,4
2019-12-23 10:47:36,11,Sales and Marketing,US,4,3,5,2,2,3,3,2,2,1,5,3,5
2019-12-02 00:50:33,5,Human Resources,US,5,1,3,4,1,4,1,4,1,2,4,3,5
2019-12-13 00:03:03,15,Research and Development,US,7,3,2,1,3,4,4,1,5,2,5,1,2
2019-12-25 06:49:44,5,Sales and Marketing,US,6,1,1,2,5,4,1,1,5,3,2,1,1
2019-12-04 16:53:35,4,Finance and Administration,US,8,5,3,5,2,3,5,5,3,4,1,1,3
2019-12-07 01:47:43,4,Research and Development,US,10,3,4,4,4,4,5,1,4,2,3,1,2
2019-12-18 13:46:19,12,Sales and Marketing,US,6,3,3,2,5,2,1,4,5,3,1,4,1
2019-12-13 15:49:20,8,Sales and Marketing,US,6,3,3,1,1,5,5,1,2,4,2,3,3
2019-12-10 07:59:19,13,Customer Service,US,7,4,4,4,4,4,5,2,1,2,3,4,1
2019-12-09 15:43:18,12,Production,US,6,5,5,1,3,5,1,4,5,3,5,3,2
2019-12-11 15:48:18,6,Human Resources,US,6,2,5,2,1,3,5,2,3,5,3,2,3
2019-12-09 14:01:34,8,Finance and Administration,US,4,5,1,2,5,4,4,3,4,1,5,1,3
2019-12-14 18:26:08,4,Production,US,4,4,1,1,4,1,4,4,5,3,2,3,1
2019-12-21 00:45:50,6,Finance and Administration,US,6,1,4,2,1,4,1,3,2,5,1,5,5
2019-12-12 06:44:34,11,Research and Development,US,8,4,4,3,1,4,3,5,5,2,3,1,1
2019-12-05 11:34:14,7,Production,US,8,5,5,1,2,2,1,2,3,1,5,3,2
2019-12-02 21:23:13,11,Research and Development,US,6,1,1,2,5,1,2,3,5,3,3,4,3
2019-12-01 01:51:58,6,Customer Service,US,4,5,2,4,3,5,4,5,2,4,1,4,5
2019-12-17 07:05:12,4,Production,US,6,2,2,5,2,4,5,5,2,5,4,3,2
2019-12-21 08:58:49,5,Customer Service,US,9,2,4,4,4,3,5,4,3,4,1,1,1
2019-12-23 11:42:26,7,Production,US,8,5,2,3,1,5,2,3,2,2,3,1,2
2019-12-12 16:30:12,2,Finance and Administration,US,6,3,1,5,5,3,2,1,2,3,3,3,2
2019-12-21 05:51:22,3,Customer Service,US,6,3,4,2,3,1,5,3,3,5,2,5,1
2019-12-29 10:29:23,5,Production,US,5,1,3,5,1,4,1,4,1,1,1,1,1
2019-12-07 10:19:24,10,Finance and Administration,US,7,5,4,5,3,1,4,5,5,3,4,3,4
2019-12-04 01:08:54,3,Human Resources,US,4,5,1,4,2,2,2,2,5,5,4,2,3
2019-12-11 02:16:53,4,Customer Service,US,9,3,4,4,1,4,2,5,4,3,5,4,3
2019-12-18 10:52:54,14,Human Resources,US,9,5,3,3,1,2,5,3,5,2,2,3,3
2019-12-25 11:09:29,1,Sales and Marketing,US,4,4,2,5,3,1,3,4,1,3,4,5,3
2019-12-13 21:02:52,8,Human Resources,US,8,4,3,1,5,5,2,2,4,4,1,1,2
2019-12-29 17:25:56,10,Customer Service,US,4,3,5,4,3,5,5,3,3,5,1,5,2
2019-12-17 23:52:38,15,Sales and Marketing,US,4,2,2,5,4,1,4,2,5,4,3,2,5
2019-12-28 20:17:53,10,Production,US,9,1,1,3,2,5,3,5,5,4,5,2,3
2019-12-04 23:04:29,5,Customer Service,US,7,2,1,5,1,5,2,1,1,5,1,5,3
2019-12-06 00:04:25,7,Production,US,10,5,2,3,2,3,3,3,1,2,1,1,5
2019-12-16 01:34:29,1,Research and Development,US,6,2,3,2,3,4,5,2,5,3,2,1,4
2019-12-24 18:16:24,2,Finance and Administration,US,6,5,4,2,2,3,5,5,5,1,4,5,2
2019-12-12 15:19:51,6,Production,US,7,1,3,5,3,3,4,1,1,1,2,4,1
2019-12-07 04:45:32,1,Finance and Administration,US,9,5,4,3,4,4,4,3,3,3,1,2,1
2019-12-17 15:24:05,11,Human Resources,US,10,4,1,2,2,2,5,2,2,2,1,3,2
2019-12-24 02:11:56,1,Research and Development,US,4,2,2,5,2,4,2,3,1,3,3,4,5
2019-12-17 16:12:01,8,Research and Development,US,5,4,4,4,1,5,5,2,4,4,3,4,3
2019-12-06 02:35:31,8,Production,US,8,1,2,3,3,1,1,3,1,1,5,2,4
2019-12-06 16:28:57,14,Research and Development,US,4,4,1,4,1,2,3,4,5,2,3,3,2
2019-12-15 04:34:44,11,Human Resources,US,9,5,2,1,1,5,5,2,4,2,4,4,1
2019-12-26 00:22:00,2,Research and Development,US,4,4,5,3,4,1,4,3,5,2,5,5,5
2019-12-11 12:59:32,9,Human Resources,US,5,1,1,4,1,5,5,2,5,1,5,4,2
2019-12-12 07:20:01,10,Human Resources,US,4,2,4,3,2,2,1,3,1,1,3,2,4
2019-12-18 22:10:20,6,Sales and Marketing,US,5,4,4,4,3,5,4,3,2,1,1,3,4
2019-12-15 08:51:49,3,Customer Service,US,10,4,2,4,3,5,3,4,5,2,5,4,3
2019-12-27 01:28:15,15,Research and Development,US,9,4,5,3,2,2,4,1,2,1,5,5,5
2019-12-08 07:28:21,6,Finance and Administration,US,4,5,1,5,4,2,5,5,2,4,2,2,3
2019-12-05 18:51:32,7,Research and Development,US,7,3,1,3,4,2,4,1,3,1,4,2,3
2019-12-12 20:02:02,1,Finance and Administration,US,4,2,4,4,2,2,3,2,4,2,2,4,5
2019-12-02 02:36:33,9,Finance and Administration,US,5,4,2,1,3,2,4,2,3,1,2,1,3
2019-12-13 08:34:37,10,Research and Development,US,10,3,5,5,2,4,3,1,1,3,1,3,3
2019-12-12 01:18:04,11,Customer Service,US,6,3,1,5,3,4,5,4,3,4,2,4,5
